id,賃料,区名,区名地価変換,最寄駅徒歩分数,部屋数,L,D,K,S,LDK,DK,R,築総月数,面積数字,何階建数字,バストイレランク,キッチンランク,BSアンテナ,エレベーター,設備ランク,設備ランクエレベータ込み,設備ランクエレベータBS込み,RC（鉄筋コンクリート）,木造
83,41000,板橋区,54,6,1,0,0,1,0,0,0,0,438,14,2,0,-1,0,0,3,3,3,0,1
84,162000,世田谷区,71,9,1,1,1,1,0,1,0,0,90,60.73,2,6,2,0,0,4,4,4,0,0
85,163000,渋谷区,392,6,1,0,0,0,0,0,0,1,140,29.51,8,2,1,0,1,5,6,6,1,0
86,112000,江東区,62,3,1,0,0,1,0,0,0,0,1,25.8,12,4,1,1,1,5,6,7,1,0
87,98000,豊島区,169,8,1,0,0,1,0,0,0,0,222,30.15,5,4,1,0,1,4,5,5,1,0
88,48000,墨田区,60,6,1,0,0,0,0,0,0,1,589,4.86,3,0,0,0,0,1,1,1,0,0
89,60000,荒川区,66,6,1,0,0,1,0,0,0,0,424,20,3,0,0,0,0,2,2,2,0,0
90,88000,杉並区,69,5,1,0,0,1,0,0,0,0,189,24.29,11,2,1,1,1,5,6,7,0,0
91,80000,北区,68,7,1,0,0,0,0,0,0,1,277,27,4,2,0,0,0,2,2,2,1,0
92,73000,品川区,98,5,1,0,0,1,0,0,0,0,415,19.12,3,0,-1,0,0,3,3,3,1,0
93,120000,墨田区,60,9,2,0,0,1,0,0,0,0,354,36,6,2,0,0,1,6,7,7,0,0
94,80000,江戸川区,43,11,1,0,0,1,0,0,0,0,42,26.86,2,6,1,1,0,4,4,5,0,1
95,74000,中野区,88,9,1,0,0,1,0,0,0,0,23,16.06,3,2,0,1,0,3,3,4,0,0
96,49000,中野区,88,6,1,0,0,0,0,0,0,1,193,14.07,2,1,0,1,0,4,4,5,0,1
97,118000,墨田区,60,7,1,1,1,1,0,1,0,0,63,40.55,8,4,1,1,1,5,6,7,1,0
98,124000,千代田区,504,4,1,0,0,1,0,0,0,0,214,28.11,11,4,1,1,1,6,7,8,0,0
99,127000,江東区,62,3,3,1,1,1,0,1,0,0,392,59.33,15,4,3,0,1,4,5,5,0,0
100,150500,杉並区,69,16,2,1,1,1,0,1,0,0,65,68.83,3,6,2,1,0,5,5,6,0,1
101,50000,台東区,150,4,1,0,0,0,0,0,0,1,627,14.1,2,1,0,0,0,0,0,0,0,1
102,88000,足立区,41,23,3,0,1,1,0,0,1,0,312,53.48,7,4,2,0,1,5,6,6,0,0
103,182000,港区,423,13,1,1,1,1,0,1,0,0,0,41.33,4,3,1,1,0,3,3,4,1,0
104,95000,台東区,150,10,1,0,0,1,0,0,0,0,3,25.44,11,5,1,1,1,5,6,7,1,0
105,78000,葛飾区,37,17,1,0,0,1,0,0,0,0,166,31.68,3,5,1,1,0,6,6,7,0,0
106,103000,杉並区,69,19,2,0,0,1,0,0,0,0,332,35,2,1,0,0,0,2,2,2,0,0
107,105000,北区,68,6,1,0,0,1,0,0,0,0,2,25.65,5,5,1,1,1,6,7,8,1,0
108,183000,港区,423,6,1,1,1,1,0,1,0,0,167,44.76,14,6,1,1,1,7,8,9,1,0
109,87000,江東区,62,11,1,0,0,0,0,0,0,1,356,30,4,4,1,0,0,3,3,3,0,0
110,75000,豊島区,169,3,1,0,1,1,0,0,1,0,632,23.05,2,1,0,0,0,2,2,2,0,1
111,125000,杉並区,69,13,1,1,1,1,0,1,0,0,79,42.37,2,5,2,1,0,3,3,4,0,1
112,108000,世田谷区,71,12,1,0,0,1,0,0,0,0,0,33.88,2,4,1,1,0,1,1,2,0,1
113,81000,世田谷区,71,13,1,0,0,1,0,0,0,0,239,24.84,3,3,0,1,0,4,4,5,1,0
114,83000,大田区,56,13,2,0,1,1,0,0,1,0,549,33,5,0,0,0,0,1,1,1,1,0
115,150000,江東区,62,4,1,1,1,1,0,1,0,0,360,45,5,4,1,0,1,4,5,5,0,0
116,75000,板橋区,54,11,1,0,0,0,0,0,0,1,30,20.96,2,3,0,0,0,2,2,2,0,1
117,44700,中野区,88,7,1,0,0,0,0,0,0,1,457,11.6,4,0,0,0,0,3,3,3,1,0
118,83000,練馬区,45,13,2,0,1,1,0,0,1,0,341,40.56,2,4,0,1,0,1,1,2,0,1
119,124000,豊島区,169,10,1,0,0,1,0,0,0,0,67,35.26,9,6,1,0,1,5,6,6,1,0
120,90000,品川区,98,4,1,0,0,0,0,0,0,1,0,18.88,4,6,1,1,0,4,4,5,1,0
121,180000,港区,423,1,1,1,1,1,0,1,0,0,187,41.93,19,6,2,1,1,7,8,9,1,0
122,104000,北区,68,6,1,0,0,1,0,0,0,0,18,27.75,10,5,2,1,1,7,8,9,1,0
123,58000,江東区,62,4,1,0,0,0,0,0,0,1,365,18.98,8,0,-1,0,1,3,4,4,0,0
124,91000,世田谷区,71,1,1,0,0,1,0,0,0,0,124,29.5,4,6,1,0,0,4,4,4,0,0
125,171000,江東区,62,5,1,0,1,1,0,0,1,0,45,34.32,19,5,1,1,1,6,7,8,1,0
126,77000,足立区,41,3,1,0,0,1,0,0,0,0,3,17.82,3,1,1,0,0,3,3,3,0,1
128,58000,足立区,41,12,1,0,0,0,0,0,0,1,408,22.26,3,0,1,0,0,5,5,5,0,0
129,79000,葛飾区,37,20,1,0,1,1,0,0,1,0,35,34,4,6,1,1,0,4,4,5,1,0
131,78000,目黒区,116,5,1,0,1,1,0,0,1,0,593,25.31,4,0,0,0,0,2,2,2,0,0
132,86500,文京区,128,10,1,0,0,1,0,0,0,0,165,20.52,15,3,1,1,1,5,6,7,1,0
133,61000,世田谷区,71,3,1,0,0,1,0,0,0,0,437,19.8,4,0,1,0,0,5,5,5,1,0
134,155000,港区,423,10,1,1,1,1,0,1,0,0,17,40.75,9,6,3,0,1,7,8,8,1,0
135,104000,大田区,56,4,1,0,0,1,0,0,0,0,1,25.79,5,0,0,0,0,0,0,0,1,0
136,185000,大田区,56,4,1,1,1,1,0,1,0,0,29,45.78,5,6,1,1,1,6,7,8,1,0
137,92000,北区,68,7,1,0,0,1,0,0,0,0,15,25.52,5,5,1,1,1,6,7,8,1,0
138,106000,江戸川区,43,9,3,0,1,1,0,0,1,0,329,55.82,3,2,1,0,0,3,3,3,0,0
139,83000,練馬区,45,4,1,0,0,1,0,0,0,0,244,33.12,2,3,0,0,0,4,4,4,0,1
140,115000,墨田区,60,3,1,0,0,1,0,0,0,0,73,25,7,0,0,0,1,0,1,1,1,0
142,143000,品川区,98,2,1,0,0,0,0,0,0,1,146,27.76,10,4,1,0,1,5,6,6,1,0
143,67000,世田谷区,71,1,1,0,0,0,0,0,0,1,164,19,4,1,-1,0,0,4,4,4,0,0
144,190000,豊島区,169,10,1,1,1,1,1,1,0,0,123,54.62,22,6,2,1,1,6,7,8,1,0
145,111000,板橋区,54,5,1,0,0,1,0,0,0,0,6,26.36,18,5,1,0,1,5,6,6,1,0
146,62500,足立区,41,7,1,0,0,1,0,0,0,0,26,14.55,2,3,0,0,0,4,4,4,0,1
147,83000,江戸川区,43,13,2,0,1,1,0,0,1,0,338,43.71,8,4,0,0,1,5,6,6,0,0
148,185000,江東区,62,5,1,1,1,1,0,1,0,0,4,39.97,14,6,3,1,1,7,8,9,1,0
149,35500,豊島区,169,3,1,0,0,0,0,0,0,1,644,15.7,3,0,0,0,0,0,0,0,0,1
150,87000,江東区,62,14,1,0,0,1,0,0,0,0,9,25.52,12,5,1,1,1,3,4,5,1,0
151,126000,世田谷区,71,8,1,0,0,1,0,0,0,0,0,26.44,13,5,1,1,0,6,6,7,1,0
152,52000,江戸川区,43,11,1,0,0,0,0,0,0,1,431,15,3,1,0,0,0,4,4,4,0,0
153,76200,墨田区,60,5,1,0,0,1,0,0,0,0,216,29.06,4,1,0,1,1,6,7,8,0,0
155,129000,新宿区,368,4,1,0,0,1,0,0,0,0,3,25.55,8,6,1,1,1,5,6,7,1,0
156,85000,豊島区,169,5,1,0,0,1,0,0,0,0,63,20.83,5,3,0,0,0,2,2,2,1,0
157,133000,新宿区,368,5,1,0,0,1,0,0,0,0,10,25.04,7,5,1,1,1,5,6,7,1,0
158,148000,江東区,62,11,1,0,0,1,0,0,0,0,173,48.78,14,5,2,0,1,4,5,5,1,0
159,115000,新宿区,368,5,1,0,1,1,0,0,1,0,427,45,3,0,1,0,0,0,0,0,1,0
160,76000,豊島区,169,6,1,0,0,0,0,0,0,1,0,17.09,4,2,1,0,0,2,2,2,1,0
161,175000,杉並区,69,7,2,1,1,1,0,1,0,0,187,61.43,13,5,2,1,1,5,6,7,1,0
162,141000,足立区,41,10,1,1,1,1,0,1,0,0,4,40.49,12,5,3,0,1,4,5,5,1,0
163,89000,文京区,128,5,1,0,0,1,0,0,0,0,341,31.94,6,0,-1,0,1,5,6,6,1,0
164,82000,北区,68,6,1,0,0,1,0,0,0,0,66,27,3,4,0,0,0,4,4,4,0,0
165,85000,大田区,56,2,1,0,0,1,0,0,0,0,143,20.58,12,3,1,1,1,4,5,6,1,0
166,65000,世田谷区,71,6,1,0,0,0,0,0,0,1,346,17.9,4,0,0,0,0,5,5,5,1,0
167,77000,品川区,98,9,1,0,0,0,0,0,0,1,116,17.88,5,1,0,0,1,1,2,2,1,0
169,116000,世田谷区,71,11,1,0,0,1,0,0,0,0,3,25.19,4,0,0,0,0,0,0,0,1,0
170,131000,新宿区,368,6,1,0,1,1,0,0,1,0,245,30.26,3,4,2,1,0,5,5,6,1,0
173,95000,中野区,88,5,2,0,0,1,0,0,0,0,533,32.5,2,2,0,0,0,2,2,2,0,1
174,116000,目黒区,116,10,1,0,0,1,1,0,0,0,0,27.52,2,5,1,0,0,3,3,3,0,0
176,103000,板橋区,54,4,1,1,1,1,0,1,0,0,0,28.44,3,5,1,1,0,2,2,3,0,1
177,49000,足立区,41,14,1,0,0,1,0,0,0,0,340,18.2,2,0,0,0,0,3,3,3,0,1
178,85000,足立区,41,11,2,0,1,1,0,0,1,0,377,44.5,6,2,0,1,1,1,2,3,1,0
179,62000,墨田区,60,2,1,0,0,0,0,0,0,1,462,18.6,4,1,-1,0,0,1,1,1,1,0
180,72000,豊島区,169,2,1,0,0,0,0,0,0,1,305,16.29,6,0,0,1,1,3,4,5,1,0
181,97000,台東区,150,6,1,0,0,1,0,0,0,0,26,25.37,13,6,1,1,1,6,7,8,1,0
182,94000,墨田区,60,2,1,1,1,1,0,1,0,0,162,40.2,3,3,0,0,0,3,3,3,0,1
183,79000,墨田区,60,6,1,0,0,0,0,0,0,1,0,19.36,3,4,0,0,0,2,2,2,0,1
184,137000,練馬区,45,8,3,1,1,1,0,1,0,0,346,73.75,7,3,0,0,0,4,4,4,1,0
185,81000,江戸川区,43,10,2,0,1,1,0,0,1,0,357,43,4,2,0,0,0,3,3,3,0,0
186,94000,大田区,56,1,1,1,1,1,0,1,0,0,503,36,2,1,0,0,0,1,1,1,0,0
187,159000,渋谷区,392,3,1,1,1,1,0,1,0,0,3,34.55,13,6,2,0,1,5,6,6,1,0
188,79000,足立区,41,7,2,0,1,1,0,0,1,0,281,42.87,3,3,2,1,0,5,5,6,0,0
190,111000,品川区,98,8,1,0,0,1,0,0,0,0,30,21.64,15,6,1,0,1,6,7,7,1,0
191,72500,足立区,41,8,1,0,0,1,0,0,0,0,144,29.31,3,5,1,1,0,6,6,7,1,0
192,79000,杉並区,69,4,1,0,0,1,0,0,0,0,185,19.3,6,1,0,0,1,4,5,5,1,0
193,84000,大田区,56,7,1,0,0,1,0,0,0,0,133,23.41,4,3,1,1,1,6,7,8,1,0
194,91000,大田区,56,14,1,1,1,1,0,1,0,0,197,33.65,5,3,1,1,1,6,7,8,1,0
196,90000,練馬区,45,13,1,1,1,1,0,1,0,0,158,33.39,2,5,2,1,0,4,4,5,0,0
197,59000,世田谷区,71,7,1,0,0,1,0,0,0,0,439,18,3,0,0,1,0,4,4,5,1,0
198,57000,中野区,88,5,1,0,0,1,0,0,0,0,381,15.5,2,0,-1,0,0,1,1,1,0,1
199,109000,荒川区,66,1,1,1,1,1,0,1,0,0,509,38.69,3,3,2,0,0,3,3,3,0,0
200,75000,杉並区,69,5,1,0,0,1,0,0,0,0,228,20.6,2,2,1,0,0,2,2,2,0,1
201,79300,足立区,41,4,1,0,0,1,0,0,0,0,31,23.47,3,4,1,1,0,6,6,7,0,0
202,75000,台東区,150,3,1,0,1,1,0,0,1,0,387,23,4,0,0,0,0,2,2,2,1,0
203,93000,杉並区,69,5,2,0,1,1,0,0,1,0,595,38.84,5,1,0,0,0,2,2,2,1,0
204,75000,江戸川区,43,9,2,0,1,1,0,0,1,0,356,35,3,1,0,0,0,1,1,1,0,0
205,142000,新宿区,368,3,1,1,1,1,0,1,0,0,250,37.87,12,4,2,1,1,6,7,8,1,0
206,51000,練馬区,45,3,1,0,0,1,0,0,0,0,377,18.2,2,0,0,0,0,0,0,0,0,1
207,107500,練馬区,45,10,1,0,0,1,0,0,0,0,43,25.51,7,4,1,0,1,6,7,7,1,0
208,95000,目黒区,116,2,1,0,0,1,0,0,0,0,189,27.6,3,3,0,1,0,3,3,4,1,0
209,70000,江戸川区,43,7,2,1,1,1,0,1,0,0,609,40,3,3,0,0,0,2,2,2,0,0
210,102300,足立区,41,3,1,0,1,1,0,0,1,0,27,29.55,3,6,2,1,0,5,5,6,0,0
211,83000,荒川区,66,10,1,0,0,1,0,0,0,0,53,27.81,3,5,0,1,0,5,5,6,0,0
212,185000,豊島区,169,1,2,1,1,1,0,1,0,0,0,50.34,11,5,2,1,1,6,7,8,1,0
213,62000,葛飾区,37,4,1,0,0,1,0,0,0,0,184,20.28,3,1,0,1,0,4,4,5,1,0
214,69000,豊島区,169,6,1,0,0,1,0,0,0,0,355,15.18,2,0,-1,0,0,0,0,0,0,1
215,97000,板橋区,54,7,1,0,0,1,0,0,0,0,153,31.68,7,4,1,1,1,3,4,5,1,0
216,118000,中央区,610,7,1,0,0,1,0,0,0,0,28,25.09,11,5,1,1,1,6,7,8,1,0
217,94000,大田区,56,5,1,0,0,1,0,0,0,0,151,25.65,14,6,1,1,1,6,7,8,1,0
218,79000,荒川区,66,7,1,0,0,0,0,0,0,1,80,20.47,3,3,1,1,0,2,2,3,0,0
219,53000,目黒区,116,3,1,0,0,0,0,0,0,1,493,15,2,1,0,0,0,0,0,0,0,1
220,67500,葛飾区,37,12,1,0,0,1,0,0,0,0,124,19.87,2,2,0,0,0,2,2,2,0,0
221,135000,杉並区,69,15,2,1,1,1,0,1,0,0,379,54.9,3,5,2,0,0,5,5,5,1,0
222,65000,杉並区,69,3,1,0,0,0,0,0,0,1,370,16.56,11,0,-1,0,1,4,5,5,0,0
223,126500,港区,423,2,1,0,0,1,0,0,0,0,187,21.1,13,2,0,1,1,4,5,6,0,0
224,105000,荒川区,66,7,1,0,0,1,0,0,0,0,0,25.56,9,6,1,1,1,5,6,7,1,0
225,96500,新宿区,368,4,1,0,0,1,0,0,0,0,168,22.75,15,5,1,1,1,6,7,8,0,0
226,63000,杉並区,69,4,1,0,0,1,0,0,0,0,197,15.1,2,1,0,0,0,1,1,1,0,0
227,27000,中野区,88,8,1,0,0,1,0,0,0,0,535,18,2,0,0,0,0,1,1,1,0,1
228,97000,板橋区,54,5,1,0,0,1,0,0,0,0,55,29.44,14,5,1,0,1,3,4,4,1,0
229,107000,千代田区,504,4,1,0,0,1,0,0,0,0,185,22.04,12,4,1,0,1,6,7,7,0,0
230,100000,江戸川区,43,7,3,0,1,1,0,0,1,0,335,56.68,8,2,0,0,1,1,2,2,1,0
231,78500,足立区,41,6,1,0,0,1,0,0,0,0,35,20.48,5,4,1,1,1,4,5,6,1,0
232,71000,品川区,98,3,1,0,0,1,0,0,0,0,259,21,3,1,1,1,0,6,6,7,0,0
233,137000,世田谷区,71,13,1,1,1,1,0,1,0,0,0,59.21,3,5,2,1,0,3,3,4,0,1
234,141000,港区,423,2,1,0,0,1,0,0,0,0,23,25.37,15,4,1,0,0,2,2,2,1,0
235,54000,板橋区,54,6,1,0,0,1,0,0,0,0,342,20,4,0,-1,0,0,3,3,3,1,0
236,127000,江東区,62,3,1,0,0,1,0,0,0,0,1,25.53,8,5,1,1,1,5,6,7,1,0
237,76000,練馬区,45,15,1,0,0,1,0,0,0,0,114,19.87,3,2,0,0,0,1,1,1,0,0
238,185000,江東区,62,5,1,1,1,1,0,1,0,0,4,39.96,14,6,3,0,1,3,4,4,1,0
239,59000,葛飾区,37,10,1,0,0,1,0,0,0,0,68,21.37,2,1,0,0,0,2,2,2,0,1
241,55000,葛飾区,37,15,1,0,0,0,0,0,0,1,341,17.83,4,0,-1,0,0,3,3,3,1,0
242,61500,杉並区,69,7,1,0,0,0,0,0,0,1,24,10.89,2,1,0,0,0,3,3,3,0,1
244,70000,江戸川区,43,15,1,0,0,1,0,0,0,0,257,25.5,2,2,0,0,0,1,1,1,0,1
245,80000,葛飾区,37,9,1,0,0,1,0,0,0,0,15,20.16,6,4,1,1,1,5,6,7,1,0
246,41500,練馬区,45,18,1,0,0,0,0,0,0,1,553,15.12,3,0,0,0,0,1,1,1,0,0
247,78500,渋谷区,392,7,1,0,0,0,0,0,0,1,469,21.1,6,0,0,0,1,3,4,4,1,0
248,104000,中野区,88,5,2,1,1,1,0,1,0,0,520,50,3,4,0,0,0,4,4,4,1,0
249,85500,北区,68,11,1,0,0,1,0,0,0,0,60,27.28,8,5,1,0,1,3,4,4,1,0
250,68000,江東区,62,10,1,0,0,1,0,0,0,0,41,18.47,3,2,1,1,0,5,5,6,0,1
251,55000,大田区,56,8,1,0,0,1,0,0,0,0,401,19.88,2,0,0,0,0,0,0,0,0,1
252,124000,渋谷区,392,1,1,0,0,1,0,0,0,0,61,25.54,15,6,1,1,1,7,8,9,1,0
254,193000,文京区,128,6,1,1,1,1,0,1,0,0,138,42.94,12,6,2,0,1,6,7,7,1,0
255,88000,板橋区,54,5,2,0,1,1,0,0,1,0,444,32.38,5,1,0,0,1,2,3,3,1,0
256,120000,目黒区,116,6,1,1,1,1,0,1,0,0,611,35.7,5,3,0,0,0,3,3,3,1,0
257,75000,北区,68,5,1,0,0,1,0,0,0,0,191,23.12,2,3,0,0,0,2,2,2,0,1
258,133000,文京区,128,8,1,0,0,1,0,0,0,0,118,38.24,9,6,1,1,1,6,7,8,1,0
260,154000,江東区,62,19,2,1,1,1,0,1,0,0,38,60.39,7,5,3,1,1,1,2,3,1,0
261,45000,葛飾区,37,11,1,0,0,1,0,0,0,0,580,21.36,2,1,0,0,0,2,2,2,0,1
262,102000,板橋区,54,4,1,0,0,1,0,0,0,0,11,25.45,5,5,1,1,1,4,5,6,1,0
263,68000,江戸川区,43,4,1,0,0,1,0,0,0,0,350,23,4,0,0,0,0,4,4,4,0,0
264,52000,世田谷区,71,5,1,0,0,1,0,0,0,0,404,16.64,5,0,0,0,1,2,3,3,1,0
265,49000,板橋区,54,5,1,0,0,1,0,0,0,0,212,11.25,2,0,-1,0,0,0,0,0,0,1
266,115000,新宿区,368,5,1,0,0,0,0,0,0,1,226,34.77,4,1,1,1,1,5,6,7,1,0
267,72000,中野区,88,10,1,0,0,1,0,0,0,0,198,19.87,2,2,-1,0,0,4,4,4,0,1
